Iteration: 367; Percent complete: 9.2%; Average loss: 3.5289
Iteration: 368; Percent complete: 9.2%; Average loss: 3.7811
Iteration: 369; Percent complete: 9.2%; Average loss: 3.8751
Iteration: 370; Percent complete: 9.2%; Average loss: 3.9246
Iteration: 371; Percent complete: 9.3%; Average loss: 3.6586
Iteration: 372; Percent complete: 9.3%; Average loss: 3.9164
Iteration: 373; Percent complete: 9.3%; Average loss: 4.0568
Iteration: 374; Percent complete: 9.3%; Average loss: 3.9546
Iteration: 375; Percent complete: 9.4%; Average loss: 3.9940
Iteration: 376; Percent complete: 9.4%; Average loss: 3.8450
Iteration: 377; Percent complete: 9.4%; Average loss: 4.0403
Iteration: 378; Percent complete: 9.4%; Average loss: 3.8400
Iteration: 379; Percent complete: 9.5%; Average loss: 4.1407
Iteration: 380; Percent complete: 9.5%; Average loss: 3.9242
Iteration: 381; Percent complete: 9.5%; Average loss: 3.8116
Iteration: 382; Percent complete: 9.6%; Average loss: 3.9129
Iteration: 383; Percent complete: 9.6%; Average loss: 3.9946
Iteration: 384; Percent complete: 9.6%; Average loss: 3.9790
Iteration: 385; Percent complete: 9.6%; Average loss: 3.9155
Iteration: 386; Percent complete: 9.7%; Average loss: 3.7591
Iteration: 387; Percent complete: 9.7%; Average loss: 3.7772
Iteration: 388; Percent complete: 9.7%; Average loss: 3.7854
Iteration: 389; Percent complete: 9.7%; Average loss: 3.9635
Iteration: 390; Percent complete: 9.8%; Average loss: 3.6906
Iteration: 391; Percent complete: 9.8%; Average loss: 3.8527
Iteration: 392; Percent complete: 9.8%; Average loss: 3.7014
Iteration: 393; Percent complete: 9.8%; Average loss: 3.7350
Iteration: 394; Percent complete: 9.8%; Average loss: 3.8231
Iteration: 395; Percent complete: 9.9%; Average loss: 3.5571
Iteration: 396; Percent complete: 9.9%; Average loss: 4.1084
Iteration: 397; Percent complete: 9.9%; Average loss: 3.7065
Iteration: 398; Percent complete: 10.0%; Average loss: 3.8618
Iteration: 399; Percent complete: 10.0%; Average loss: 3.6437
Iteration: 400; Percent complete: 10.0%; Average loss: 3.8219
Iteration: 401; Percent complete: 10.0%; Average loss: 3.8885
Iteration: 402; Percent complete: 10.1%; Average loss: 3.7951
Iteration: 403; Percent complete: 10.1%; Average loss: 3.7804
Iteration: 404; Percent complete: 10.1%; Average loss: 3.8973
Iteration: 405; Percent complete: 10.1%; Average loss: 3.9859
Iteration: 406; Percent complete: 10.2%; Average loss: 3.7609
Iteration: 407; Percent complete: 10.2%; Average loss: 3.7830
Iteration: 408; Percent complete: 10.2%; Average loss: 3.6182
Iteration: 409; Percent complete: 10.2%; Average loss: 4.0655
Iteration: 410; Percent complete: 10.2%; Average loss: 3.8677
Iteration: 411; Percent complete: 10.3%; Average loss: 3.9632
Iteration: 412; Percent complete: 10.3%; Average loss: 4.1187
Iteration: 413; Percent complete: 10.3%; Average loss: 3.9370
Iteration: 414; Percent complete: 10.3%; Average loss: 3.9458
Iteration: 415; Percent complete: 10.4%; Average loss: 3.5931
Iteration: 416; Percent complete: 10.4%; Average loss: 3.5243
Iteration: 417; Percent complete: 10.4%; Average loss: 3.6293
Iteration: 418; Percent complete: 10.4%; Average loss: 3.9894
Iteration: 419; Percent complete: 10.5%; Average loss: 4.0195
Iteration: 420; Percent complete: 10.5%; Average loss: 3.6307
Iteration: 421; Percent complete: 10.5%; Average loss: 3.9040
Iteration: 422; Percent complete: 10.5%; Average loss: 3.7352
Iteration: 423; Percent complete: 10.6%; Average loss: 3.6126
Iteration: 424; Percent complete: 10.6%; Average loss: 4.0089
Iteration: 425; Percent complete: 10.6%; Average loss: 4.0080
Iteration: 426; Percent complete: 10.7%; Average loss: 3.6135
Iteration: 427; Percent complete: 10.7%; Average loss: 4.2603
Iteration: 428; Percent complete: 10.7%; Average loss: 3.9761
Iteration: 429; Percent complete: 10.7%; Average loss: 3.9233
Iteration: 430; Percent complete: 10.8%; Average loss: 3.6867
Iteration: 431; Percent complete: 10.8%; Average loss: 4.1155
Iteration: 432; Percent complete: 10.8%; Average loss: 3.6651
Iteration: 433; Percent complete: 10.8%; Average loss: 3.7114
Iteration: 434; Percent complete: 10.8%; Average loss: 3.6123
Iteration: 435; Percent complete: 10.9%; Average loss: 3.7094
Iteration: 436; Percent complete: 10.9%; Average loss: 3.8175
Iteration: 437; Percent complete: 10.9%; Average loss: 3.6117
Iteration: 438; Percent complete: 10.9%; Average loss: 3.6858
Iteration: 439; Percent complete: 11.0%; Average loss: 3.7240
Iteration: 440; Percent complete: 11.0%; Average loss: 3.9813
Iteration: 441; Percent complete: 11.0%; Average loss: 3.7440
Iteration: 442; Percent complete: 11.1%; Average loss: 3.4887
Iteration: 443; Percent complete: 11.1%; Average loss: 3.9051
Iteration: 444; Percent complete: 11.1%; Average loss: 3.8164
Iteration: 445; Percent complete: 11.1%; Average loss: 3.9775
Iteration: 446; Percent complete: 11.2%; Average loss: 3.7608
Iteration: 447; Percent complete: 11.2%; Average loss: 3.5955
Iteration: 448; Percent complete: 11.2%; Average loss: 3.4596
Iteration: 449; Percent complete: 11.2%; Average loss: 3.6444
Iteration: 450; Percent complete: 11.2%; Average loss: 3.6729
Iteration: 451; Percent complete: 11.3%; Average loss: 3.7590
